"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","lefv2603-desktop",,,,"User:","lefv2603"
"Cmdline:","dstat -gmrsty -c -C 0,1,2,3,total --output dstat.log",,,,"Date:","08 Jul 2020 23:10:25 EDT"
"paging",,"memory usage",,,,"io/total",,"swap",,"system","system",,"cpu0 usage",,,,,"cpu1 usage",,,,,"cpu2 usage",,,,,"cpu3 usage",,,,,"total cpu usage",,,,
"in","out","used","free","buff","cach","read","writ","used","free","time","int","csw","cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu1 usage:usr","cpu1 usage:sys","cpu1 usage:idl","cpu1 usage:wai","cpu1 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu3 usage:usr","cpu3 usage:sys","cpu3 usage:idl","cpu3 usage:wai","cpu3 usage:stl","total cpu usage:usr","total cpu usage:sys","total cpu usage:idl","total cpu usage:wai","total cpu usage:stl"
37899.432,167917.961,2784907264,924696576,10518528,572469248,22.964,46.010,1407582208,666632192,08-07 23:10:25,2476.053,4135.282,6.071,2.780,88.381,2.768,0,5.846,2.723,88.560,2.871,0,5.897,2.763,88.489,2.851,0,5.846,2.374,89.451,2.329,0,5.915,2.660,88.720,2.705,0
266240,0,2784669696,921223168,10526720,576299008,105,0,1407315968,666898432,08-07 23:10:26,5758,7913,2.970,0.990,92.079,3.960,0,1.010,2.020,96.970,0,0,3.030,3.030,90.909,3.030,0,2,6,92,0,0,2.015,2.771,93.451,1.763,0
151552,0,2784800768,921157632,10526720,576106496,37,0,1407164416,667049984,08-07 23:10:27,5387,8001,2,1,97,0,0,0,1.020,98.980,0,0,0,5,95,0,0,3.030,2.020,94.949,0,0,1.754,2.256,95.990,0,0
0,0,2781556736,924401664,10526720,576106496,0,0,1407164416,667049984,08-07 23:10:28,5569,8296,3.030,1.010,95.960,0,0,0,2.020,97.980,0,0,0.990,3.960,95.050,0,0,1,5,94,0,0,1.250,3,95.750,0,0
0,0,2781515776,924434432,10534912,576106496,0,4,1407164416,667049984,08-07 23:10:29,5661,8362,0,1.010,98.990,0,0,2.020,5.051,92.929,0,0,2,4,93,1,0,0,2.970,97.030,0,0,1.003,3.509,95.489,0,0
0,0,2781581312,924368896,10534912,576106496,0,0,1407164416,667049984,08-07 23:10:30,5769,8511,1.980,1.980,96.040,0,0,0,2.020,97.980,0,0,2,4,94,0,0,4,2,94,0,0,1.754,2.506,95.739,0,0


"Host:","lefv2603-desktop",,,,"User:","root"
"Cmdline:","dstat -gmrsty -c -C 0,1,2,3,total --output dstat.log",,,,"Date:","08 Jul 2020 23:21:55 EDT"
"paging",,"memory usage",,,,"io/total",,"swap",,"system","system",,"cpu0 usage",,,,,"cpu1 usage",,,,,"cpu2 usage",,,,,"cpu3 usage",,,,,"total cpu usage",,,,
"in","out","used","free","buff","cach","read","writ","used","free","time","int","csw","cpu0 usage:usr","cpu0 usage:sys","cpu0 usage:idl","cpu0 usage:wai","cpu0 usage:stl","cpu1 usage:usr","cpu1 usage:sys","cpu1 usage:idl","cpu1 usage:wai","cpu1 usage:stl","cpu2 usage:usr","cpu2 usage:sys","cpu2 usage:idl","cpu2 usage:wai","cpu2 usage:stl","cpu3 usage:usr","cpu3 usage:sys","cpu3 usage:idl","cpu3 usage:wai","cpu3 usage:stl","total cpu usage:usr","total cpu usage:sys","total cpu usage:idl","total cpu usage:wai","total cpu usage:stl"
36759.101,158936.097,2819829760,849416192,13688832,620613632,22.024,43.793,1390702592,683511808,08-07 23:21:55,2439.744,4084.687,6.084,2.739,88.554,2.624,0,5.832,2.696,88.742,2.730,0,5.903,2.710,88.683,2.705,0,5.855,2.333,89.602,2.210,0,5.918,2.619,88.895,2.567,0
0,0,2844889088,791408640,16891904,650465280,582,4,1390702592,683511808,08-07 23:21:56,3350,5132,9.901,13.861,8.911,67.327,0,1.031,2.062,81.443,15.464,0,2.020,4.040,75.758,18.182,0,15.464,4.124,28.866,51.546,0,7.305,6.297,48.363,38.035,0
0,0,2866647040,733949952,16891904,686166016,156,0,1390702592,683511808,08-07 23:21:57,3095,4586,1.980,4.950,63.366,29.703,0,28.713,11.881,30.693,28.713,0,5.051,2.020,79.798,13.131,0,0.980,2.941,79.412,16.667,0,9.250,5,63.500,22.250,0
0,0,2897420288,664682496,16891904,724660224,160,0,1390702592,683511808,08-07 23:21:58,3185,5163,4.082,5.102,61.224,29.592,0,16.162,7.071,31.313,45.455,0,2,3,95,0,0,1,1,93,5,0,5.750,4.500,70,19.750,0
